국세청코드,KSIC코드,KSIC명
359202,31999,그 외 기타 달리 분류되지 않은 운송장비 제조업
361001,32091,금속 가구 제조업
361002,32029,기타 목재 가구 제조업
361003,32099,그 외 기타 가구 제조업
361005,32011,매트리스 및 침대 제조업
361006,32019,소파 및 기타 내장 가구 제조업
361007,32021,주방용 및 음식점용 목재 가구 제조업
369101,33110,귀금속 및 관련제품 제조업
369200,33209,기타 악기 및 전자 악기 제조업
369201,33201,건반 악기 제조업
369202,33209,기타 악기 및 전자 악기 제조업
369301,33301,"체조, 육상 및 체력 단련용 장비 제조업"
369302,33309,기타 운동 및 경기용구 제조업
369305,33302,놀이터용 장비 제조업
369306,33303,낚시 및 수렵용구 제조업
369401,33401,인형 및 장난감 제조업
369402,33401,인형 및 장난감 제조업
369404,33402,영상게임기 제조업
369405,33409,기타 오락용품 제조업
369409,33409,기타 오락용품 제조업
369501,33120,모조 귀금속 및 모조 장신용품 제조업
369502,33931,가발 및 유사 제품 제조업
369503,33910,간판 및 광고물 제조업
369504,33933,표구 처리업
369505,33932,전시용 모형 제조업
