KSIC코드,업종명,레벨,정의,예시,제외
22299,그 외 기타 플라스틱 제품 제조업,세세분류,"개인, 가정, 식탁 및 주방용 플라스틱제품, 플라스틱 모자, 플라스틱 의복 및 기타 플라스틱 성형제품, 구입한 1차 플라스틱제품을 절단․ 접합 및 기타 가공하여 기타 플라스틱 가공품을 제조하는 산업활동을 포함한다.",플라스틱 인조 잔디 제조 / 플라스틱 헬멧 및 안전모 제조 / 플라스틱 성형 의복 제조 / 플라스틱제 사무 및 학용품 제조 / 플라스틱제 자석 제조 / 제 조 업,"포장용 또는 운반용 플라스틱 성형 용기 제조(22232) / 플라스틱 절연재료 제조(2224) / 플라스틱 물질 원료를 착색, 혼합, 배합한 가공 원료 및 재생 원료 / (수지) 생산(20203) / 덮개를 씌우지 않은 셀룰러 플라스틱 매트리스 제조(320) / 재생 플라스틱제품 제조용 이차 원료 생산(383) / 플라스틱 물질과 산화물을 혼합해서 자석 제조용 플라스틱 시트를 / 제조하는 경우(2221) / 대분류 C"
23,비금속 광물제품 제조업,중분류,"돌, 모래, 점토 형태의 각종 비금속 광물을 원료로 유리 및 유리제품, 내화 및 비내화 요업제품, 시멘트, 석회 및 플라스터와 이들의 가공 품, 석재 가공품 및 암면제품 등 기타 비금속 광물제품을 제조하는 산업활동을 포함한다.",,석재 절단 및 토사석 분쇄 처리활동이 토사석 채취 활동과 결합되 / 어 수행되는 경우(071) / 법랑제품 제조(25)
231,유리 및 유리제품 제조업,소분류,"용융 석영, 용융 실리카를 포함하여 각종 형태 및 용도의 유리, 유리 섬유 및 기타 유리제품을 제조하는 산업활동을 말한다. 유리솜 및 유",,"유리사 직물 제조(1321) / 광섬유케이블 제조(28301) / 주사기를 포함한 의료 시험장비 제조(271) / 광섬유 제조(27301) / 광학요소(광학적으로 가공된) 제조(273) / 분상, 입상 및 플레이크상의 유약용 유리제품 제조(20412)"
23111,판유리 제조업,세세분류,판유리를 제조하는 산업활동을 말한다.,플로트 판유리 제조 / 표면 연마 판유리 제조 / 망입 판유리 제조,
23112,안전유리 제조업,세세분류,"구입한 판유리를 가공하여 차량 등 운송장비용, 건축용 등에 사용하 는 각종 강화유리와 접합유리를 제조하는 산업활동을 말한다.","열 강화유리, 화학 강화유리 제조 / 합판 유리, 샌드위치 유리 제조",복층 절연유리 제조(23119) / 거울유리 제조(23119) / 디스플레이 장치용 및 태양전지용 기판유리 제조(23122)
23119,기타 판유리 가공품 제조업,세세분류,"구입한 판유리를 용해하지 않고 절단․조립․가열 및 냉각․변형․식 각, 적층 및 복층․표면처리․착색 및 표면 장식 등에 의하여 거울용 및 차량용 유리제품, 상자 및 케이스, 복층 및 적층유리, 곡상 유리제 품 등 판유리 가공품을 제조하는 산업활동을 말한다. 판유리로 가공","자동차 백미러(뒷거울) 제조 / 복층 절연유리 제조 / 거울 유리 제조 / 착색 유리, 코팅 유리, 곡유리 제조 / 대분류 C","포장용 유리병 및 앰플 제조(23192) / 구입한 판유리로 목걸이, 팔찌 등의 모조 장신품 제조(3312)"
2312,산업용 유리 제조업,세분류,"각종 형태의 1차 유리제품과 압출, 사출 및 기타 성형하여 유리섬유 및 그 제품, 전기, 광학 및 이화학용 유리제품, 건설용 유리제품 등 산업용 유리제품을 성형 제조하는 산업활동을 말한다.","연마하지 않은 안경유리 제조 / 유리섬유 슬라이버(sliver), 로빙(roving), 실(사), 솜 제조 / 유리섬유 보일(voiles), 웨브(webs), 매트, 매트리스, 보드 등 직조하 / 지 않은 부직포형 제품 제조",연마 가공한 광학용 유리제품 제조(273) / 유리섬유 직물(13219) 및 그 직물제품 제조(132)
23122,디스플레이 장치용 유리 제조업,세세분류,"무알칼리 유리 또는 소다석회 유리 등을 소재로 연마, 코팅 등 표면 가공하여 각종 디스플레이 장치(LCD, OLED, PDP 등) 소재로 사용 되는 기판 유리를 제조하는 산업활동을 말한다. 저철분 유리 소재로",LCD용 무알칼리 기판 유리 제조 / PDP용 소다석회 기판 유리 제조 제 / OLED용 무알칼리 기판 유리 제조 조 / 태양전지용 저철분 기판 유리 제조 업 / ITO용 기판 유리 제조,"차량용, 건축용 플로트 판유리 제조(23111) / 화학 강화유리 제조(23112)"
23129,기타 산업용 유리제품 제조업,세세분류,"압출, 사출 및 기타 성형하여 전구용 유리관 및 구, 유리 애자 및 절 연 부착물, 조명기구용 유리제품, 이화학․위생 및 약제용 유리제품, 벽돌 및 타일, 슬래브 등의 건축용 유리제품, 시계유리, 신호등, 보온 병 속의 유리제품 등 기타 산업용 성형 유리제품을 제조하는 산업활 동을 말한다.","유리제 전자기기용, 전구 등 조명기기용 외피, 밸브와 튜브 제조 / 전부가 유리로 된 애자, 전기 절연체 성형 제조 / 진공 플라스크 또는 기타의 진공 용기에 사용되는 유리제의 내장품 / 건축용 블록(block), 패널(panel), 플레이트(plate), 쉘(shell) 또는 다 / 공성 유리 제조 / 건축용 다공질 유리 및 관련 제품 제조 / 증류 및 배양 플라스크, 눈금 있는 항아리, 증발 접시 제조 / 시계용 유리 제조 / 대분류 C","일반 운반용 플라스크, 항아리 제조(23192) / 광학유리 생지 제조(23121) / 구입한 광학유리 생지 가공활동(273) / 포장 또는 운반용 유리 용기 제조(23192) / 직접 사용될 수 있도록 조립된 애자 및 전기 절연체 제조(28902)"
2319,기타 유리제품 제조업,세분류,"가정용 유리제품, 포장용 유리 용기 및 장식용 유리제품 등을 제조하 는 산업활동을 포함한다.",,
23191,가정용 유리제품 제조업,세세분류,"식탁 및 주방용 유리제품, 화장실용 또는 문구용 유리제품 등을 성형 제조하는 산업활동을 말한다.",식탁용 유리제품 성형 제조 / 문구용 유리제품 성형 제조 / 화장실용 유리제품 성형 제조 / 생활용 유리제품 성형 제조,판유리를 가공한 가정용 유리제품 제조(23119)
23192,포장용 유리용기 제조업,세세분류,"압출, 사출, 접착 및 기타 방법으로 성형하여 음․식료품, 화장품, 화 공 약품 및 기타 상품의 포장 또는 운반용에 사용되는 유리용기 및 관련제품을 제조하는 산업활동을 말한다.",유리 앰플 제조 / 유리병 및 유리제 마개류 제조,제 조 업 / 가정용 유리용기 및 관련제품 제조(23191) / 판유리를 가공하여 포장용 유리상자 및 케이스 제조(23119)
23199,그 외 기타 유리제품 제조업,세세분류,"광학 유리 및 판유리, 구, 봉, 관, 슬래브, 괴 등 각종 형태의 1차 유 리제품을 제외한 유리제의 모조 진주, 모조 귀석, 유사 장식용 유리제 품 등 기타 유리제품을 제조하는 산업활동을 말한다.","유리제 비드(bead) 제조 / 유리제 소상(모조 신변 장신품 제외) 제조 / 유리제 안구(인형용, 로봇용 등) 제조 / 프로파일상 유리 제조","보정용 인조 안구(眼球) 제조(27194) / 기계장치로 움직이는 완구용 유리 안구(33401) / 건설용 유리제품 제조(23129) / 광학유리 생지, 유리섬유 및 유리사 제조(23121) / 요업용 등 도포제 조제에 사용되는 유리 프리트(frit) 또는 분상, 입 / 상 및 플레이크(flake)상 유리 제조(20412)"
2321,내화 요업제품 제조업,세분류,"규산질, 흑연 등의 점토 또는 비점토질의 내화용 원료를 성형한 후 이를 구워서 내열성 또는 내화성 요업제품을 제조하는 산업활동을 말 한다. 부정형의 내화제품 및 내화 모르타르 제조를 포함하며 소성처 리 여부는 불문한다. 대분류 C",,비내화 비구조용 요업제품 제조(2322) / 비내화 건축용 요업제품 제조(2323)
23211,정형 내화 요업제품 제조업,세세분류,각종 내화용 원료로 건축용 또는 구조물용의 단열 및 내화용 정형제 품을 제조하는 산업활동을 말한다.,내화 벽돌 및 타일 제조 / 구조용 내화 요업제품 제조 / 건설용 내화 요업제품 제조 / 건축용 내화 요업제품 제조 / 레토르트 제조 / 도가니 제조 / 반응 그릇 제조 / 머플 제조 / 노즐 제조 / 플럭 제조 / 튜브와 파이프 제조,내화 모르타르제품 제조(23212)
23212,부정형 내화 요업제품 제조업,세세분류,"각종 부정형 내화물 및 내화용 조제 배합원료를 제조하는 산업활동을 말하며, 소성처리 여부는 불문한다.","내화물용 조제 배합원료 제조 / 알루미나 제조(보오크사이트 원광 이외 물질 사용) / 내화 시멘트, 내화 모르타르, 내화 콘크리트 및 기타 내화용 혼합물 / 내화용 조제 배합원료 제조(알루미나, 실리카 또는 이들의 혼합물 / 중량이 50% 이상인 것) / 샤모트 제조 / 제 조 업 / 다이나스어드(Dinas earth) 제조",
2322,비내화 일반 도자기 제조업,세분류,"재료를 성형하고 이를 고온에서 구워 각종 도기, 자기, 토기, 사기 등 의 비내화성, 비구조용 요업제품을 제조하는 산업활동을 말한다. 여기",,내화용 도자제품 제조(2321) / 비내화성 건축 또는 구조용 도자제품 제조(2323) / 인조 치아 제조(2719) / 모조 장신용품 조립 제조(3312) / 내화 도자기 제품 제조(23211)
23221,가정용 및 장식용 도자기 제조업,세세분류,"주방용, 식탁용 및 장식용 도기, 자기 및 토기를 제조하는 산업활동을 말한다. 도자기를 장식 처리하는 활동도 포함한다.",가정용 토기제품 제조 / 도자기제 조상 제조 / 도자기 화병 제조 / 장식용 도자기제품 제조,위생용 도자기제품 제조(23222) / 도관 및 건축용 도자기제품 제조(2323)
