색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
"구명조끼, 구명대 제조",13229,기타 직물제품 제조업,세세분류,MED,haeseolseo
구운 소금 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
구조용 내화 요업제품 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
국악 현악기 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
군사 지도 제작,72922,제도업,세세분류,MED,haeseolseo
굴뚝용 벽돌 및 블록 제조,23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업",세세분류,MED,haeseolseo
굴삭기 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
궐연지 제조,17909,그 외 기타 종이 및 판지 제품 제조업,세세분류,MED,haeseolseo
귀금속 메달 제조,33110,귀금속 및 관련제품 제조업,세세분류,MED,haeseolseo
귀금속 목걸이 제조,33110,귀금속 및 관련제품 제조업,세세분류,MED,haeseolseo
귀금속 장신용품 제조,33110,귀금속 및 관련제품 제조업,세세분류,MED,haeseolseo
귀금속제 주화 제조,33110,귀금속 및 관련제품 제조업,세세분류,MED,haeseolseo
귀석 제품 제조,33110,귀금속 및 관련제품 제조업,세세분류,MED,haeseolseo
규소 및 염소 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
균형 및 평형 검사기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
그라비아 인쇄,18119,기타 인쇄업,세세분류,MED,haeseolseo
그라비아 인쇄용 기계 제조,29292,인쇄 및 제책용 기계 제조업,세세분류,MED,haeseolseo
그레이더와 레벨러 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
그리스 제조,19221,윤활유 및 그리스 제조업,세세분류,MED,haeseolseo
"근무복, 작업복, 체육복 제조",14192,"근무복, 작업복 및 유사 의복 제조업",세세분류,MED,haeseolseo
글라신지 원지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
글루탐산 소다 제조,10831,"식초, 발효 및 화학 조미료 제조업",세세분류,MED,haeseolseo
글루텐 제조,10520,전분제품 및 당류 제조업,세세분류,MED,haeseolseo
글리세린 수 및 비누 폐액으로 만든 글리세린 제조,20422,"치약, 비누 및 기타 세제 제조업",세세분류,MED,haeseolseo
글리세린 제조,20422,"치약, 비누 및 기타 세제 제조업",세세분류,MED,haeseolseo
글리코시드 및 그 유도체 제조,21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
금고실 라이닝 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
금고실 문 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
금박 합성지 및 판지 제조,17904,"적층, 합성 및 특수 표면처리 종이 제조업",세세분류,MED,haeseolseo
금속 가구 제조,32091,금속 가구 제조업,세세분류,MED,haeseolseo
금속 가스 용기 제조,25123,압축 및 액화 가스 용기 제조업,세세분류,MED,haeseolseo
금속 가연사 제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
금속 냉간 및 열간 압연기 제조,29230,금속 주조 및 기타 야금용 기계 제조업,세세분류,MED,haeseolseo
금속 다이케스팅기 제조,29230,금속 주조 및 기타 야금용 기계 제조업,세세분류,MED,haeseolseo
금속 단조기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
금속 도포 플라스틱 필름 제조,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",세세분류,MED,haeseolseo
금속 드리사제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
금속 롤링도어 제조,25111,"금속 문, 창, 셔터 및 관련제품 제조업",세세분류,MED,haeseolseo
금속 발코니 제조,25112,구조용 금속 판제품 및 공작물 제조업,세세분류,MED,haeseolseo
금속 베란다 제조,25112,구조용 금속 판제품 및 공작물 제조업,세세분류,MED,haeseolseo
금속 상자 제조,25991,금속 캔 및 기타 포장용기 제조업,세세분류,MED,haeseolseo
금속 세척기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
금속 셔터문 제조,25111,"금속 문, 창, 셔터 및 관련제품 제조업",세세분류,MED,haeseolseo
금속 스크린도어 제조,25111,"금속 문, 창, 셔터 및 관련제품 제조업",세세분류,MED,haeseolseo
금속 압력 주조기 제조,29230,금속 주조 및 기타 야금용 기계 제조업,세세분류,MED,haeseolseo
금속 압연기용 롤러 제조,29230,금속 주조 및 기타 야금용 기계 제조업,세세분류,MED,haeseolseo
금속 압축 용기 제조,25123,압축 및 액화 가스 용기 제조업,세세분류,MED,haeseolseo
금속 저장 조 제조,25122,금속 탱크 및 저장 용기 제조업,세세분류,MED,haeseolseo
금속 전기로 제조,29230,금속 주조 및 기타 야금용 기계 제조업,세세분류,MED,haeseolseo
금속 절곡기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
금속 주괴용 주형과 레이들 제조,29230,금속 주조 및 기타 야금용 기계 제조업,세세분류,MED,haeseolseo
금속 지붕 및 벽면 제조,25112,구조용 금속 판제품 및 공작물 제조업,세세분류,MED,haeseolseo
금속 캐비닛 제조,32091,금속 가구 제조업,세세분류,MED,haeseolseo
금속 케이블 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
금속 탱크 제조,25122,금속 탱크 및 저장 용기 제조업,세세분류,MED,haeseolseo
금속 통 제조,25991,금속 캔 및 기타 포장용기 제조업,세세분류,MED,haeseolseo
금속 판 스프링 제조,25943,금속 스프링 제조업,세세분류,MED,haeseolseo
금속산염 또는 과산화금속염 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
금속선 인발 및 가공기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
금속선 직물 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
금속선제 그릴 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
금속제 까치발 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
금속제 날붙이 손잡이 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
"금속제 못, 압정 제조",25942,그 외 금속 파스너 및 나사제품 제조업,세세분류,MED,haeseolseo
금속제 병마개 제조,25991,금속 캔 및 기타 포장용기 제조업,세세분류,MED,haeseolseo
금속제 선반 받침대 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
금속제 설탕 집게 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
금속제 세면기 제조,25993,금속 위생용품 제조업,세세분류,MED,haeseolseo
금속제 수문 제조,25111,"금속 문, 창, 셔터 및 관련제품 제조업",세세분류,MED,haeseolseo
금속제 시곗줄 제조,27220,시계 및 시계 부품 제조업,세세분류,MED,haeseolseo
금속제 식탁용품 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
