색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
빗질 및 정리제품 생산,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
사 가공기 제조,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업",세세분류,MED,haeseolseo
사람 모형 인형 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
사무실용 조명기구 제조,28422,일반용 전기 조명장치 제조업,세세분류,MED,haeseolseo
사무용품 제조,33920,사무 및 회화용품 제조업,세세분류,MED,haeseolseo
사운드 카드 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
사이드카 제조,31921,모터사이클 제조업,세세분류,MED,haeseolseo
사진 노광용 기 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
사진 노출용 기 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
"사진 및 전자 감광지, 열 감응지 원지 제조",17103,인쇄용 및 필기용 원지 제조업,세세분류,MED,haeseolseo
사진 확대기 및 축소기 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
사진기 케이스 제조,15129,가방 및 기타 보호용 케이스 제조업,세세분류,MED,haeseolseo
사진식 복사기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
사진처리용 단일 화학 물질 제조,20491,감광 재료 및 관련 화학제품 제조업,세세분류,MED,haeseolseo
사진틀 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
사탕무당 제조,10810,설탕 제조업,세세분류,MED,haeseolseo
사탕수수당 제조,10810,설탕 제조업,세세분류,MED,haeseolseo
"산, 알칼리 처리 등으로 활성화된 광물성 물질 제조",20499,그 외 기타 분류 안된 화학제품 제조업,세세분류,MED,haeseolseo
산부인과용 기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
산소 관능 아미노 화합물 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
산소 흡입기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
산업용 금형 제조,29293,주형 및 금형 제조업,세세분류,MED,haeseolseo
산업용 로봇 제조,29280,산업용 로봇 제조업,세세분류,MED,haeseolseo
산업용 물질 건조기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
산업용 전구 제조,28410,전구 및 램프 제조업,세세분류,MED,haeseolseo
산업용 접시 세척기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
산업처리 공정용 컴퓨터 접속장치 제조,27216,산업 처리공정 제어장비 제조업,세세분류,MED,haeseolseo
산업처리 공정용 흐름 조정자 제조,27216,산업 처리공정 제어장비 제조업,세세분류,MED,haeseolseo
산업처리 자동조절용 기 제조,27216,산업 처리공정 제어장비 제조업,세세분류,MED,haeseolseo
산화철과 수산화철 제조,20131,무기 안료용 금속 산화물 및 관련 제품 제조업,세세분류,MED,haeseolseo
살균 램프 제조,28410,전구 및 램프 제조업,세세분류,MED,haeseolseo
살균소 및 독소 제조,21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
살균제 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
살균한 라미나리아 제조,21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
살균한 외과용 또는 치과용 지혈제 및 유착방지제 제조,21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
살서제 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
살포차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
삼차원 조형기 제조,29222,디지털 적층 성형기계 제조업,세세분류,MED,haeseolseo
삼차원 프린터 제조,29222,디지털 적층 성형기계 제조업,세세분류,MED,haeseolseo
"삽, 곡괭이, 쇠스랑, 도끼, 낫 및 유사 절단용 수공구 제조",25933,비동력식 수공구 제조업,세세분류,MED,haeseolseo
상 및 플레이크상의 유리 제조,20412,요업용 도포제 및 관련제품 제조업,세세분류,MED,haeseolseo
상감 세공 목재 패널 제조,16292,장식용 목제품 제조업,세세분류,MED,haeseolseo
"상아, 뼈, 귀갑, 뿔, 산호, 자개 및 기타 동물성의 조각용 재료 가공",33932,전시용 모형 제조업,세세분류,MED,haeseolseo
상자 및 케이스 제조,23229,기타 일반 도자기 제조업,세세분류,MED,haeseolseo
상자용 칸막이 제조,17222,판지 상자 및 용기 제조업,세세분류,MED,haeseolseo
"상패, 명패, 감사패 제조",25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
새끼줄 제조,16300,코르크 및 조물 제품 제조업,세세분류,MED,haeseolseo
새시문 제조,25111,"금속 문, 창, 셔터 및 관련제품 제조업",세세분류,MED,haeseolseo
새알 가공품 제조,10899,그 외 기타 식료품 제조업,세세분류,MED,haeseolseo
색소토 가공품 제조,20131,무기 안료용 금속 산화물 및 관련 제품 제조업,세세분류,MED,haeseolseo
색층 분석기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
생강 발효주 제조,11119,기타 발효주 제조업,세세분류,MED,haeseolseo
생과자 제조,10602,빵류 제조업,세세분류,MED,haeseolseo
생석회 및 소석회 제조,23312,석회 및 플라스터 제조업,세세분류,MED,haeseolseo
"생약 물질 추출, 가공 또는 합성 조제품 제조",21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
생우유 생산,01211,젖소 사육업,세세분류,MED,haeseolseo
생크림 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
생화학성 농약 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
생활용 유리제품 성형 제조,23191,가정용 유리제품 제조업,세세분류,MED,haeseolseo
샤모트 제조,23212,부정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
샤프트 커플링 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
섀도마스크 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
섀무 가죽 제조,15110,모피 및 가죽 제조업,세세분류,MED,haeseolseo
서류 받침 제조,17222,판지 상자 및 용기 제조업,세세분류,MED,haeseolseo
서류 상자 제조,17222,판지 상자 및 용기 제조업,세세분류,MED,haeseolseo
서류 캐비닛 제조,17222,판지 상자 및 용기 제조업,세세분류,MED,haeseolseo
서지 억제기 제조,28121,"전기회로 개폐, 보호 장치 제조업",세세분류,MED,haeseolseo
석유 아스팔트 물질 제조,19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
석유 왁스 생산,19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
석유 정제 가스 제조,19210,원유 정제처리업,세세분류,MED,haeseolseo
"석유 젤리, 백유 제조",19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
석유 코크스 제조,19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
석탄 증류 타르 제조,19100,코크스 및 연탄 제조업,세세분류,MED,haeseolseo
선글라스 제조,27195,안경 및 안경렌즈 제조업,세세분류,MED,haeseolseo
선박 구성 부분품 제조,31114,선박 구성 부분품 제조업,세세분류,MED,haeseolseo
선박 추진기 및 관련 블레이드 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
선박 축소 모형 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
선박용 철골 조립 구조재 제조,25114,수상 금속 골조 구조재 제조업,세세분류,MED,haeseolseo
선박용 피스톤 내연기관 제조,29111,내연기관 제조업,세세분류,MED,haeseolseo
선별기 및 세척기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
"선철, 주철과 경철 제조",24111,제철업,세세분류,MED,haeseolseo
선풍기 제조,28519,기타 가정용 전기 기기 제조업,세세분류,MED,haeseolseo
설상 스키 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
설상용 승용차량 제조,30121,내연기관 승용차 및 기타 여객용 자동차 제조,세세분류,MED,haeseolseo
설상용 전기 승용차량 제조,30122,전기 승용차 및 기타 여객용 전기 자동차 제조업,세세분류,MED,haeseolseo
설치용 금속 울타리 제조,25112,구조용 금속 판제품 및 공작물 제조업,세세분류,MED,haeseolseo
설치용 물탱크 제조,23239,기타 건축용 비내화 요업제품 제조업,세세분류,MED,haeseolseo
"설치용, 저장용 플라스틱 탱크 및 유사 용기 제조",22222,설치용 및 위생용 플라스틱제품 제조업,세세분류,MED,haeseolseo
설탕 절임 과실 및 견과 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
섬광 전구 제조,28410,전구 및 램프 제조업,세세분류,MED,haeseolseo
섬수모사 제조,13102,모 방적업,세세분류,MED,haeseolseo
섬수모직물 직조,13212,모직물 직조업,세세분류,MED,haeseolseo
섬유 강화 플라스틱 소재 물질 제조,20203,혼성 및 재생 플라스틱 소재 물질 제조업,세세분류,MED,haeseolseo
섬유 등의 중간 화합물 제조,19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
섬유 벽지 제조,17903,벽지 및 장판지 제조업,세세분류,MED,haeseolseo
섬유 분말 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
섬유 유연제 제조,20132,"염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업",세세분류,MED,haeseolseo
"섬유, 금속 재료 등 포함) 제조",21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
섬유작물 재배,01140,기타 작물 재배업,세세분류,MED,haeseolseo
섬유제 직조 라벨 제조,13991,세폭직물 제조업,세세분류,MED,haeseolseo
섬유제 호스 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
섬유질 셀룰로오스펄프 제조,17101,펄프 제조업,세세분류,MED,haeseolseo
섬유질 시멘트 제조,23311,시멘트 제조업,세세분류,MED,haeseolseo
세라믹 및 페라이트제 자석 제조,23222,위생용 및 산업용 도자기 제조업,세세분류,MED,haeseolseo
세라믹 파이버 제조,23994,암면 및 유사 제품 제조업,세세분류,MED,haeseolseo
"세면기, 화장실용 팬, 분뇨 정화조 제조",22222,설치용 및 위생용 플라스틱제품 제조업,세세분류,MED,haeseolseo
세탁기 제조,28519,기타 가정용 전기 기기 제조업,세세분류,MED,haeseolseo
세탁소형 세탁기 제조,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",세세분류,MED,haeseolseo
세포치료제 제조,21211,생물 의약품 제조업,세세분류,MED,haeseolseo
셀룰라우드 패널 제조,16229,기타 건축용 나무제품 제조업,세세분류,MED,haeseolseo
셀룰러 고무제 매트리스 제조,32011,매트리스 및 침대 제조업,세세분류,MED,haeseolseo
셀룰러 플라스틱제 매트리스 제조,32011,매트리스 및 침대 제조업,세세분류,MED,haeseolseo
"셀룰로오스 섬유 웨브, 충전제용 원지 제조",17106,위생용 원지 제조업,세세분류,MED,haeseolseo
셀룰로오스 섬유직물 직조,13213,화학섬유직물 직조업,세세분류,MED,haeseolseo
셀룰로오스 에테르 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
셀프 접착지 제조,17904,"적층, 합성 및 특수 표면처리 종이 제조업",세세분류,MED,haeseolseo
셔니일사 제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
셔블 로우더 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
소모직물 직조,13212,모직물 직조업,세세분류,MED,haeseolseo
소방선 제조,31113,기타 선박 건조업,세세분류,MED,haeseolseo
소방차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
소방차 특장 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
소음기 제조,30399,그 외 자동차용 신품 부품 제조업,세세분류,MED,haeseolseo
소화기용 조제품 제조,20499,그 외 기타 분류 안된 화학제품 제조업,세세분류,MED,haeseolseo
소화용 분사기 제조,29192,분사기 및 소화기 제조업,세세분류,MED,haeseolseo
소화장치 보관용 금속제 상자 제조,25991,금속 캔 및 기타 포장용기 제조업,세세분류,MED,haeseolseo
손수건 제조,14499,그 외 기타 의복 액세서리 제조업,세세분류,MED,haeseolseo
손수레 제조,31999,그 외 기타 달리 분류되지 않은 운송장비 제조업,세세분류,MED,haeseolseo
손톱깎이 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
솔벤트 나프타 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
"솜, 실 염색 및 정리 가공",13401,솜 및 실 염색 가공업,세세분류,MED,haeseolseo
송신기용 열전자관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
솥뚜껑 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
쇄석 채굴 생산,07121,건설용 석재 채굴 및 쇄석 생산업,세세분류,MED,haeseolseo
쇼트닝 제조,10413,식용 정제유 및 가공유 제조업,세세분류,MED,haeseolseo
수동식 국수 절단기 및 압출기 제조,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,세세분류,MED,haeseolseo
수동식 식품 가공기 제조,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,세세분류,MED,haeseolseo
수동식 체 및 어레미 제조,33999,그 외 기타 달리 분류되지 않은 제품 제조업,세세분류,MED,haeseolseo
수력 터빈 제조,29119,기타 기관 및 터빈 제조업,세세분류,MED,haeseolseo
수렵용 무기 제조,25200,무기 및 총포탄 제조업,세세분류,MED,haeseolseo
수렵용구 제조,33303,낚시 및 수렵용구 제조업,세세분류,MED,haeseolseo
수산 동물 및 식물 종자생산,03213,수산물 부화 및 수산 종자 생산업,세세분류,MED,haeseolseo
수산 동물고기 혼합 추출물 엑스 제조,10896,건강 보조용 액화식품 제조업,세세분류,MED,haeseolseo
